DirID,Start,End
000000,499,567
000001,68,200
000001,250,370
000001,560,701
000002,48,359
000003,148,232
000004,46,95
000005,92,155
000006,92,140
000008,90,110
000009,89,151
000010,65,144
000011,143,181
000011,208,270
000012,157,180
000013,155,200
000014,106,150
000015,100,120
000016,99,138
000018,119,160
000020,80,110
000021,95,120
000022,100,172
000023,85,104
000024,94,140
000025,95,173
000026,61,91
000027,54,93
000028,200,245
000029,47,100
000030,124,143
000032,15,40
000033,103,191
000034,43,90
000036,126,164
000037,18,113
000038,18,215
000039,22,61
000040,57,170
000041,92,105
000042,60,80
000043,5,99
000044,530,560
000046,92,110
000047,172,188
000047,198,214
000048,35,65
000049,40,70
000050,303,340
000051,110,165
000052,172,196
000053,68,120
000054,86,99
000055,286,315
000056,180,220
000057,60,75
000058,230,270
000059,176,200
000060,122,170
000061,160,180
000062,28,60
000063,88,110
000064,127,155
000065,147,160
000065,180,200
000066,174,200
000067,59,65
000068,424,480
000069,213,256
000070,197,230
000071,17,37
000072,11,22
000073,27,40
000074,4,20
000076,9,20
000077,25,40
000078,9,20
000079,47,60
000080,11,25
000081,63,90
000082,27,40
000083,21,45
000084,13,25
000087,15,25
000088,11,20
000089,6,16
000090,15,29
000091,8,16
000092,176,350
000093,95,140
000096,55,240
000097,53,80
000098,135,155
000099,51,65
000100,63,77
000101,57,90
000105,65,88
000106,135,165
000108,206,245
000109,35,73
000111,97,128
000113,68,92
000114,115,140
000115,82,100
000116,75,97
000117,40,80
000118,58,80
000119,143,185
000120,115,140
000121,157,182
000122,49,72
000123,58,90
000126,107,133
000127,32,75
000130,114,142
000131,35,88
000132,10,25
000133,6,45
000135,120,153
